tier,archive_index,species,form,held_item,move_1,move_2,move_3,move_4,nature,ev_distribution,ev_hp,ev_attack,ev_defense,ev_speed,ev_sp_attack,ev_sp_defense,player_ivs,opponent_ivs,ability_rule,gender_rule,friendship,availability,trainer_ids,trainer_id_classes,ability_slots,sex_vector
Cleavant (Hiker),0,Barbaracle,Default,Bright Powder,Stone Edge,Razor Shell,Shell Smash,Double Team,Adamant,255 Attack / 255 Speed,0,255,0,255,0,0,31 in every stat (Battle Agency/rental constructor),19 in every stat (trainer-ID dependent),Random ability index 0/1/2 (personal slots 181/97/124),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,20,Trainer IDs 0-49 (19 IV),181/97/124,127
Florian (Youngster) / Robin (Youngster) / Max (Youngster) / Bert (Youngster) / Sophia (Lass) / Shanta (Lass) / Rachel (Lass) / Chan (Lass) / Parker (Youth Athlete) / Isaac (Youth Athlete) / Ayden (Youth Athlete) / Alwyn (Youth Athlete) / Mardea (Youth Athlete) / Gabriella (Youth Athlete),1,Hawlucha,Default,Salac Berry,Acrobatics,High Jump Kick,Feather Dance,Taunt,Jolly,255 Attack / 255 Speed,0,255,0,255,0,0,31 in every stat (Battle Agency/rental constructor),19 in every stat (trainer-ID dependent),Random ability index 0/1/2 (personal slots 7/84/104),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"0,1,2,3,4,5,6,7,38,39,40,41,42,43",Trainer IDs 0-49 (19 IV),7/84/104,127
Florian (Youngster) / Robin (Youngster) / Max (Youngster) / Bert (Youngster) / Ferdinand (Preschooler) / Rico (Preschooler) / Jasper (Preschooler) / Mercy (Preschooler) / Helen (Preschooler) / Gladys (Preschooler) / Buster (Hiker) / Winnie (Office Worker) / Prudence (Office Worker) / Dominica (Office Worker),2,Carbink,Default,Light Clay,Reflect,Light Screen,Safeguard,Dazzling Gleam,Calm,255 Defense / 255 Sp. Def,0,0,255,0,0,255,31 in every stat (Battle Agency/rental constructor),19 in every stat (trainer-ID dependent),Random ability index 0/1/2 (personal slots 29/29/5),Genderless,255,Battle Tree NPC / Battle Agency,"0,1,2,3,8,9,11,13,14,15,21,27,28,29",Trainer IDs 0-49 (19 IV),29/29/5,255
Darla (Backpacker) / Kayla (Backpacker) / Parker (Youth Athlete) / Isaac (Youth Athlete) / Ayden (Youth Athlete) / Alwyn (Youth Athlete) / Mardea (Youth Athlete) / Gabriella (Youth Athlete) / Cooper (Sightseer) / Darien (Sightseer) / Henry (Gentleman),3,Pyroar,Default,King's Rock,Flamethrower,Hyper Voice,Snarl,Noble Roar,Timid,255 Speed / 255 Sp. Atk,0,0,0,255,255,0,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 79/127/153),PID-derived species ratio (sex_vector=225),255,Battle Tree NPC / Battle Agency,"16,19,38,39,40,41,42,43,50,51,62",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),79/127/153,225
Kass (Punk Guy) / Scoop (Punk Guy) / Dylan (Punk Guy) / Evander (Punk Guy) / Christopher (Rising Star) / Brandi (Rising Star) / Kaula (Sightseer) / Charlene (Sightseer) / Jairo (Janitor) / JT (Worker) / Benjamin (Worker),4,Avalugg,Default,Leftovers,Avalanche,Confide,Protect,Toxic,Relaxed,255 HP / 255 Defense,255,0,255,0,0,0,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 20/115/5),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"30,31,32,33,45,48,53,54,56,60,61",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),20/115/5,127
Cleavant (Hiker),5,Tyrantrum,Default,Lax Incense,Stealth Rock,Dragon Tail,Double Team,Earthquake,Relaxed,255 Defense / 255 Sp. Def,0,0,255,0,0,255,31 in every stat (Battle Agency/rental constructor),19 in every stat (trainer-ID dependent),Random ability index 0/1/2 (personal slots 173/173/69),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,20,Trainer IDs 0-49 (19 IV),173/173/69,31
Cleavant (Hiker) / Buster (Hiker) / Christopher (Rising Star) / Brandi (Rising Star) / Cooper (Sightseer) / Darien (Sightseer) / Skip (Worker) / JT (Worker) / Benjamin (Worker),6,Aurorus,Default,Sitrus Berry,Substitute,Thunder Wave,Round,Thunderbolt,Calm,255 HP / 255 Sp. Def,255,0,0,0,0,255,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 174/174/117),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"20,21,45,48,50,51,59,60,61",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),174/174/117,31
Parker (Youth Athlete) / Isaac (Youth Athlete) / Ayden (Youth Athlete) / Alwyn (Youth Athlete) / Mardea (Youth Athlete) / Gabriella (Youth Athlete) / Henry (Gentleman) / Cheryl (Madame),7,Talonflame,Default,Charti Berry,Round,Me First,Will-O-Wisp,Flamethrower,Timid,255 Speed / 255 Sp. Atk,0,0,0,255,255,0,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 49/49/177),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"38,39,40,41,42,43,62,65",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),49/49/177,127
Sophia (Lass) / Shanta (Lass) / Rachel (Lass) / Chan (Lass) / Darla (Backpacker) / Kayla (Backpacker) / Winnie (Office Worker) / Prudence (Office Worker) / Dominica (Office Worker) / Cheryl (Madame) / Xio (Veteran),8,Sylveon,Default,Misty Seed,Misty Terrain,Tail Whip,Helping Hand,Dazzling Gleam,Calm,255 HP / 255 Sp. Def,255,0,0,0,0,255,31 in every stat (Battle Agency/rental constructor),"19,23,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 56/56/182),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"4,5,6,7,16,19,27,28,29,65,127",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV); Trainer IDs 90-189 (31 IV),56/56/182,31
Alwyn (Youth Athlete) / Mardea (Youth Athlete) / Gabriella (Youth Athlete) / Ryder (Rising Star) / Beatrice (Rising Star) / Henry (Gentleman),9,Chesnaught,Default,Leftovers,Taunt,Spiky Shield,Feint,Wood Hammer,Adamant,255 Attack / 255 Defense,0,255,255,0,0,0,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 65/65/171),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"41,42,43,44,47,62",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),65/65/171,31
